Title,Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
Entertainment,cw app,193%,1057.0,33,178,57
Travel,air express,6%,41.0,13,244,56
Food & Drink,chick fil a one,400%,940.0,34,207,55
Magazines & Newspapers,listen to books,114%,257.0,21,212,55
Books,amazon kindle app,89%,322.0,22,225,55
Productivity,redgifs app,348%,4381.0,41,198,55
Entertainment,ploy buzz,239%,4243.0,40,70,55
Photo & Video,adobe express ai photo video,9%,150.0,16,241,54
Travel,theme parks,8%,52.0,14,207,54
Graphics & Design,cool apps for teens,150%,383.0,23,201,54
Travel,zenhotels,450%,535.0,28,234,54
Lifestyle,hinge dating app match meet,7%,51.0,15,195,54
Travel,flit,6%,32.0,14,219,54
Lifestyle,make friends app,7%,82.0,14,194,54
Business,pay mobile,6%,89.0,14,214,53
Productivity,galaxy vpn,25%,178.0,23,222,53
Lifestyle,meet real people,13%,58.0,18,202,52
Magazines & Newspapers,蛋仔派对,50%,22302.0,50,204,52
Finance,moonshot crypto,475%,669.0,31,229,52
Health & Fitness,calorie counter by cronometer,11%,102.0,19,221,52
Shopping,pay bill,7%,90.0,14,221,51
Utilities,pocket tv,10%,78.0,16,219,51
Finance,xrp crypto,10%,70.0,18,236,51
Weather,radar pro,6%,38.0,13,235,51
Finance,moneygram international inc,33%,193.0,16,230,51
Shopping,best buy connect,233%,1271.0,32,219,51
Finance,solana blockchain,15%,130.0,20,244,51
Shopping,misguided,6%,40.0,14,37,51
Finance,opp loans,10%,90.0,18,151,51
Entertainment,the open tickets,340%,740.0,33,217,50
Photo & Video,تحديث pubg موبايل,27%,444.0,23,33,50
Utilities,همراه بانک سپه,484%,5752.0,45,5,50
Music,слушать музыку,6%,71.0,13,190,50
Music,aplicativo de música,9%,76.0,16,209,50
Utilities,roky remote control fo tv roku,15%,153.0,21,211,50
Productivity,apple word,763%,594.0,31,216,50
Food & Drink,chickfilla,26%,143.0,24,215,50
Sports,ted lasso,8%,49.0,15,229,49
Music,ganna,17%,160.0,15,200,49
Medical,bby,189%,399.0,24,174,49
Shopping,decathlon online shopping app,6%,121.0,14,208,49
Social Networking,tea app for women,239%,45497.0,60,200,49
News,local crime,6%,88.0,13,179,49
Sports,daft kings,22%,174.0,19,155,49
Food & Drink,chick fil a inc,345%,4858.0,46,220,49
Reference,translate audio,67%,112.0,16,227,49
Weather,noaa radar,100%,556.0,25,232,49
Finance,blockfi,8%,64.0,15,221,48
News,crime near me,8%,183.0,15,188,48
Business,microsoft outlook teams,8%,40.0,15,229,48
Books,free kindle app,7%,63.0,15,240,48
Utilities,photo clearer,"3,717%",,45,234,48
Lifestyle,dating apps for couples,10%,92.0,16,233,48
Productivity,赛风,9%,132.0,15,228,48
Productivity,the storage app,0%,36.0,16,232,47
Shopping,honey app,8%,159.0,15,177,47
Shopping,cotton,233%,,25,217,47
Photo & Video,ادیت صورت,9%,107.0,16,114,47
Social Networking,lesbian apps,9%,85.0,18,222,47
Weather,live weather app,800%,1455.0,28,173,47
Lifestyle,meet couples,9%,41.0,15,222,47
Social Networking,textp,395%,1227.0,34,203,47
Music,sanklod,8%,39.0,15,196,47
Utilities,ruku tv remote free,159%,4814.0,42,236,46
Lifestyle,hinges,7%,42.0,14,200,46
Productivity,koupon ai,565%,12385.0,48,231,46
Weather,weather alerts from national weather service app,124%,1626.0,33,236,46
Navigation,waise,7%,133.0,14,184,46
Shopping,kids shoes,7%,43.0,15,204,46
Business,free adobe scan,6%,59.0,14,235,46
Travel,travel agent,7%,113.0,15,225,45
Entertainment,metaquest mobile app,229%,726.0,28,192,45
Finance,ok exchange,25%,203.0,17,200,45
Lifestyle,lgbtq dating app,10%,148.0,16,224,45
Utilities,controle remoto,0%,167.0,14,233,45
Business,rush adobe,0%,71.0,13,75,45
Travel,indrive,50%,72717.0,60,235,45
Travel,rental karma,5%,41.0,13,239,45
Sports,bet rivers casino pa,8%,192.0,16,229,45
Finance,brokers,667%,2408.0,41,184,45
Magazines & Newspapers,bbc iplayer,31%,13741.0,46,233,45
Shopping,target 360,7%,44.0,14,47,45
Social Networking,تحديث ببجي,"1,629%",13000.0,49,220,44
Reference,coin apps,7%,62.0,15,223,44
Lifestyle,bisexual dating,9%,90.0,16,209,44
Sports,drogontv,9%,58.0,15,236,44
Education,labubu world,291%,4249.0,43,38,44
Business,fedex credit union,0%,117.0,13,232,44
Graphics & Design,photo magic,8%,40.0,15,223,44
Education,fall games,8%,55.0,16,192,44
Travel,vacation itinerary,6%,32.0,13,222,44
Weather,live weather,87%,2038.0,32,219,44
Travel,chase marriott bonvoy,6%,41.0,14,197,44
Productivity,gpt 40,9%,162.0,15,218,44
Travel,airways,7%,102.0,14,221,44
Finance,crypto cold wallet,667%,638.0,30,236,43
Lifestyle,tinder social,23%,157.0,22,194,43
Finance,investing stock,7%,56.0,16,228,43
News,to chat,52%,731.0,28,199,43
Magazines & Newspapers,flixtools box,48%,807.0,27,128,43
Food & Drink,chick fil a game,230%,1077.0,39,190,43
Graphics & Design,theams,7%,147.0,13,217,43
Shopping,journeyz,6%,93.0,14,192,43
Social Networking,omen,10%,48.0,18,168,43
Navigation,برق من,313%,470.0,26,97,43
Productivity,chat qt,10%,290.0,17,148,43
Finance,fidelity roth ira,8%,95.0,16,226,43
Finance,broker,287%,,43,183,42
Health & Fitness,mobile run,11%,170.0,17,194,42
Graphics & Design,room creator,67%,135.0,18,233,42
Graphics & Design,ai house remodel,13%,160.0,18,230,42
Utilities,private browser downloader,289%,5531.0,44,146,42
Music,amazon audible books,7%,74.0,15,205,42
Medical,smart coupons,33%,220.0,16,213,42
Shopping,camel camel camel,485%,9058.0,45,170,42
Entertainment,cbs all access,10%,56.0,16,162,41
Graphics & Design,house ai,9%,65.0,16,228,41
Lifestyle,free find a friend app,9%,116.0,16,219,41
Travel,7 11 app,97%,46286.0,57,208,41
Business,video group chat,6%,41.0,13,173,41
Health & Fitness,watcha,6%,115.0,13,234,41
Graphics & Design,wallaper,7%,104.0,15,214,41
Weather,ventusky weather maps radar,194%,3213.0,40,240,41
Finance,international payment,19%,319.0,21,223,41
Food & Drink,dash app,123%,468.0,25,217,41
Travel,cheap rental cars,0%,82.0,13,230,41
Sports,group app,6%,115.0,14,173,41
Finance,sendmoney,10%,138.0,16,230,41
Productivity,впн бук,18%,221.0,21,80,41
Productivity,botchat,9%,96.0,16,205,40
Navigation,مسیر یاب بلد,150%,250.0,20,41,40
Reference,google voice typing,6%,79.0,13,237,40
Business,two factor authentication app,8%,71.0,16,222,40
Productivity,exal,12%,210.0,19,159,40
Weather,ice tracker,126%,31114.0,52,230,40
Finance,cold wallet,300%,693.0,28,234,40
Food & Drink,chick,240%,,45,142,39
Entertainment,movies2watch,198%,2937.0,37,229,39
Utilities,تحديث ال pubg,17%,314.0,21,38,39
Weather,ice app tracker,72%,2912.0,33,230,39
Medical,aarp safetrip,11%,136.0,17,229,39
Productivity,ai mixer,10%,47.0,17,234,39
Navigation,برنامه اسنپ,8%,54.0,14,74,39
Productivity,pdf converter word to pdf,9%,94.0,16,215,39
Utilities,free roku tv remote,10%,124.0,16,226,39
Travel,poking,6%,33.0,13,240,39
Food & Drink,buffalo wild,6%,89.0,14,170,39
Magazines & Newspapers,moviebox free,71%,1439.0,31,225,39
Utilities,controllers,7%,112.0,14,220,39
Productivity,check mail,45%,455.0,28,214,39
Reference,coin gecko,63%,211.0,23,227,39
Lifestyle,app for couples,197%,1947.0,35,226,39
Music,ramusi offline music player,500%,1039.0,34,206,39
Business,oberlo,6%,93.0,13,220,39
Lifestyle,inmessage meet chat date,10%,47.0,16,210,39
Shopping,life in lilac,7%,42.0,15,236,38
Food & Drink,philly pretzel factory,342%,1656.0,38,133,38
Entertainment,tv azteca deportes en vivo,10%,214.0,16,197,38
Finance,fanum wallet,214%,396.0,24,244,38
Navigation,سیب آپ,7%,44.0,13,25,38
Social Networking,تحديث بوجي,"1,222%",1693.0,33,218,38
Travel,amex canada,0%,101.0,14,225,38
Sports,nba g league,11%,190.0,17,178,38
Food & Drink,food book,11%,49.0,16,210,37
Books,free audible app,6%,55.0,14,240,37
Sports,topps baseball,0%,53.0,14,173,37
Social Networking,movie box app,12%,91.0,19,226,37
Finance,ku coin,7%,36.0,15,226,37
Books,thebiblechat,9%,60.0,16,237,37
News,noaa radio,13%,204.0,19,232,37
Entertainment,pro tv,8%,106.0,15,227,37
Music,auto mack,10%,141.0,16,169,37
Weather,the weather channel free,8%,136.0,16,241,37
Medical,healthcare app,7%,52.0,13,240,37
Finance,solona,325%,819.0,29,221,37
Education,really fun games for girls free,7%,37.0,15,243,37
Lifestyle,meet live,-12%,246.0,15,180,37
Finance,xrp wallet trade buy crypto,283%,284.0,25,218,37
Shopping,ugs,15%,100.0,19,62,36
Utilities,junk cleaner,6%,85.0,14,232,36
Lifestyle,samsung oven,6%,144.0,14,232,36
Medical,c s,50%,170.0,16,228,36
Food & Drink,snap food stamps,122%,721.0,27,226,36
Productivity,simon ai,31%,638.0,25,224,36
Education,fun games for adults,200%,1082.0,30,242,36
Food & Drink,mcdonalds game,343%,1978.0,33,218,36
Finance,e toro,7%,52.0,15,231,36
Music,mymixtapez,18%,87.0,25,175,36
Lifestyle,alexa show,6%,63.0,16,207,36
Lifestyle,tourbar,8%,61.0,16,240,36
Shopping,staples app,0%,11.0,13,220,36
Social Networking,play games with friends,290%,626.0,27,213,36
Utilities,roku onn tv remote control free,7%,140.0,15,235,36
Weather,road trip weather,0%,71.0,13,217,36
Food & Drink,chick fil a play,"2,875%",8299.0,55,209,36
Social Networking,bisexual women,34%,125.0,25,185,35
Sports,bet88u,10%,57.0,16,202,35
Sports,pa bet,0%,36.0,16,183,35
Graphics & Design,photo dump ai,6%,46.0,14,230,35
Weather,noaa weather alerts,12%,166.0,18,241,35
Graphics & Design,interior designer,9%,93.0,16,224,35
Finance,cheap insurance,8%,125.0,16,194,35
Music,station head,244%,448.0,25,29,35
Business,hireapp pro,6%,18.0,13,209,35
Travel,go visits,72%,10873.0,46,228,35
Education,fun brain,6%,59.0,14,229,35
Music,upload music,6%,77.0,13,229,35
Photo & Video,professional photo,11%,181.0,17,216,35
Music,shoom ai music song generator,12%,76.0,19,220,34
Travel,indraiver,154%,1322.0,31,235,34
Sports,oncourse,300%,292.0,25,155,34
Social Networking,poly dating app,16%,177.0,21,227,34
Sports,soccer bets,12%,89.0,16,198,34
Education,vccs,7%,88.0,15,194,34
Productivity,golove ai,10%,82.0,18,199,34
Lifestyle,couples dating,350%,1304.0,32,216,34
Education,free fun games for girls,122%,382.0,24,241,34
Entertainment,mtv app,13%,174.0,19,206,34
Sports,live football tv free,7%,117.0,14,219,34
Utilities,تنظيف,6%,49.0,14,238,34
Music,audiomax,6%,51.0,13,242,34
Navigation,7 11,158%,29765.0,55,182,33
Sports,live sport tv,10%,58.0,16,223,33
Music,kpop music,7%,86.0,14,180,33
Utilities,viruses,10%,63.0,18,156,33
Health & Fitness,nutrition tracker free app,0%,26.0,13,234,33
News,crime radar,200%,544.0,30,205,33
Business,mini scanner free,6%,57.0,13,235,33
Social Networking,тик тик,478%,377.0,29,225,33
Health & Fitness,health and fitness apps,26%,293.0,24,243,33
Graphics & Design,edit background,7%,54.0,15,237,33
Health & Fitness,period track,6%,44.0,13,225,33
Magazines & Newspapers,blindspot,67%,235.0,20,70,33
Finance,mydashcard,408%,7707.0,49,40,33
Navigation,google driving directions,6%,64.0,13,168,33
Entertainment,shameless,343%,266.0,24,240,32
Utilities,همراه بانک سپه ایفون,484%,2269.0,38,7,32
Finance,bad credit loans app,11%,152.0,18,209,32
Navigation,rutas,6%,71.0,14,164,32
Photo & Video,افزایش فالور,10%,137.0,17,11,32
Photo & Video,دانلود اسنپ,10%,190.0,16,168,32
Graphics & Design,apartment design,7%,87.0,15,225,32
Magazines & Newspapers,watched,100%,1117.0,30,211,32
Productivity,adobe connect,569%,8660.0,49,184,32
Business,free slide scanner,7%,91.0,15,234,32
Reference,coin id scanner value checker,10%,75.0,17,220,31
Utilities,private web browser,239%,20036.0,51,163,31
Health & Fitness,sleeper app,9%,73.0,17,225,31
Travel,مسیریاب ویز,70%,2308.0,34,34,31
Utilities,secure private browser,417%,1963.0,38,205,31
Lifestyle,match and chat,333%,130.0,23,208,31
Weather,wqad storm track 8 weather,186%,144.0,22,244,31
Books,livros,6%,32.0,13,181,31
Utilities,any tv,8%,,14,227,31
Navigation,pus,6%,34.0,13,221,31
Weather,nooa,44%,303.0,20,203,31
Graphics & Design,design dream room,0%,185.0,24,233,31
News,verify doppelganger,8%,49.0,15,222,31
Graphics & Design,pixelup ai photo enhancer app,17%,148.0,21,222,31
Business,staple,"1,150%",591.0,32,151,31
Finance,fantom,463%,598.0,28,175,31
Navigation,car parki,7%,36.0,14,193,30
Navigation,gps mapping,6%,85.0,14,177,30
Magazines & Newspapers,storyful,15%,226.0,20,207,30
Utilities,roku remote tv,0%,29.0,14,219,30
News,aspire news,26%,176.0,23,236,30
Books,tiny book shop,6%,89.0,13,199,30
Books,free stories,6%,114.0,13,240,30
Entertainment,amazon rewards,10%,119.0,17,213,30
Books,blb bible,158%,5088.0,40,225,30
Shopping,nika,7%,37.0,14,207,30
Magazines & Newspapers,nyt connections game,200%,816.0,28,213,30
News,freaky gram,7%,26.0,13,55,30
Reference,the ai bible,10%,70.0,17,233,30
Reference,language translator camera,10%,97.0,16,238,30
Finance,dogecoin wallet,10%,152.0,16,233,30
Entertainment,anichat,150%,357.0,26,215,30
Music,local fm radio,257%,380.0,24,224,30
Health & Fitness,گام شمار,7%,97.0,14,8,30
Music,descarga,13%,212.0,19,177,30
Music,107 7 wivk,12%,158.0,18,242,30
Graphics & Design,sora ai video,10%,49.0,16,241,30
Business,photo to pdf converter plus,76%,589.0,31,235,30
Health & Fitness,sleep debt,0%,40.0,13,221,30
Medical,my patient portal,33%,290.0,20,213,30
Navigation,google traffic,6%,96.0,14,165,29
News,the free press,-24%,3587.0,47,215,29
Reference,money checker,275%,415.0,25,237,29
Navigation,rails to trails,7%,71.0,14,207,29
Weather,هواشناسی,117%,281.0,19,230,29
Shopping,aloyoga,9%,49.0,16,235,29
Social Networking,on phone second number,9%,117.0,16,212,29
Books,dc universe online,38%,296.0,18,184,29
Shopping,giorgio armani,6%,62.0,13,205,29
Education,free trivia games for adults,196%,1454.0,32,217,29
Photo & Video,pubg update,"1,650%",1702.0,34,200,29
Utilities,samsung tv remote control,7%,128.0,14,215,29
Books,daily audio bible mobile app,7%,87.0,13,210,29
Utilities,بام ملی,8%,86.0,15,77,29
Sports,watch football live,8%,210.0,14,211,29
Business,papa pals,6%,52.0,13,134,29
Navigation,دانلود دیوار,113%,321.0,21,43,29
Health & Fitness,start running for beginners,0%,73.0,13,211,29
Reference,faith ai bible,"1,418%",4226.0,45,225,28
Sports,nba summer,10%,206.0,16,166,28
Finance,mode earn,7%,102.0,16,220,28
Travel,air miles receipts,127%,667.0,26,241,28
Food & Drink,bood,7%,36.0,14,237,28
Weather,dopple,0%,2321.0,30,68,28
Magazines & Newspapers,cbs sunday morning,-61%,246.0,15,174,28
Lifestyle,threesomes,17%,247.0,21,182,28
Reference,coins value,529%,491.0,28,211,28
Navigation,basemap,237%,4396.0,39,222,28
Education,peppa pig games for free,6%,57.0,15,181,28
Business,espy,0%,37.0,13,183,28
Entertainment,teletv,25%,158.0,24,231,28
Reference,menu translator,144%,322.0,24,223,28
Music,total music,0%,27.0,13,210,27
Entertainment,waave,343%,676.0,30,36,27
Business,tinyscanner,33%,100.0,15,222,27
Utilities,tele tv,61%,326.0,30,225,27
Navigation,مسیریاب,200%,835.0,28,166,27
Business,free virus scan,9%,74.0,16,230,27
Medical,myhealth online,10%,63.0,16,209,27
Shopping,koupon,408%,7141.0,44,225,27
Lifestyle,date a live,"1,073%",1653.0,36,204,27
Graphics & Design,design your own home,9%,144.0,16,238,27
Graphics & Design,photo remover free,7%,115.0,14,246,27
Sports,live football hd,13%,58.0,18,211,27
Lifestyle,meet and chat,7%,150.0,15,205,26
Finance,dash pay,897%,6632.0,50,219,26
Books,story downloader,267%,421.0,26,184,26
Music,ballad,7%,,14,194,26
Business,groups app,6%,66.0,14,210,26
Reference,переводчик по фото,11%,126.0,19,78,26
Reference,coin appraisal,300%,597.0,28,216,26
Sports,football live stream,10%,189.0,16,213,26
Reference,bible ai chat,11%,127.0,18,229,26
Entertainment,caliente tv,12%,133.0,19,219,26
Music,airbuds space,17%,148.0,21,243,26
Photo & Video,live stream football,15%,110.0,19,219,25
Finance,options,566%,4674.0,45,177,25
News,news explorer,6%,39.0,13,200,25
Lifestyle,people online,0%,32.0,15,213,25
Social Networking,vsee messenger,7%,64.0,16,218,25
Lifestyle,dating with live chat,-22%,109.0,14,182,25
Books,web novel,97%,1341.0,30,232,25
Social Networking,gaze video chat,238%,6460.0,43,118,25
Business,tap to scan,12%,163.0,16,229,25
Reference,dog and cat translator,11%,130.0,19,221,25
Health & Fitness,self improvement free,0%,27.0,13,229,25
Health & Fitness,gym schedule,6%,45.0,13,229,25
Graphics & Design,floor plan design,13%,146.0,16,217,25
Reference,skyview lite free,160%,1297.0,29,232,25
Medical,access health,6%,38.0,13,217,25
Finance,marketcap,12%,103.0,18,230,25
Books,dc comics,125%,5148.0,43,131,25
Lifestyle,repairs,10%,80.0,16,171,25
Productivity,phone ringer,9%,126.0,16,219,25
Lifestyle,mindful dating,10%,106.0,17,217,24
Entertainment,youtube alternative,0%,32.0,15,187,24
Photo & Video,ai animation video,15%,86.0,21,236,24
Magazines & Newspapers,my chemical romance,6%,70.0,15,209,24
Weather,wgal weather,12%,190.0,18,235,24
Travel,trips planner,19%,79.0,21,225,24
Social Networking,online social games,0%,36.0,16,212,24
Travel,trip planner app,43%,395.0,21,234,24
Business,katika for business,9%,64.0,16,225,24
Business,zoom gov,9%,127.0,16,204,24
Books,jkanime,69%,471.0,23,215,24
Graphics & Design,npvt,-69%,392.0,14,245,24
Reference,coin scanner coin finder,6%,38.0,13,218,24
Business,pdf candy,7%,69.0,14,231,24
Entertainment,tv express,15%,135.0,20,216,24
Social Networking,mature dating app,25%,214.0,23,211,23
Social Networking,quackity,38%,429.0,26,180,23
Music,پلی موزیک,9%,133.0,16,99,23
Books,mp3 audiobook player,7%,89.0,14,225,23
Reference,rare coins,750%,527.0,29,205,23
Navigation,usgs maps,6%,92.0,19,201,23
Medical,smart sleep coach by pampers,183%,656.0,26,205,23
Navigation,veyz,10%,175.0,17,181,23
Weather,national hurricane center,157%,1702.0,33,204,23
Productivity,grok 4 0,"2,870%",47843.0,65,56,23
Reference,coin checker free,200%,833.0,30,201,23
Sports,claro sports,59%,1279.0,30,221,23
Reference,coin snap coin identifier,12%,111.0,18,222,23
Education,planta passport,7%,127.0,16,242,23
Magazines & Newspapers,the economist podcast,6%,81.0,13,187,23
Lifestyle,threesomer,22%,187.0,22,58,23
Travel,secret staycation,6%,80.0,13,225,23
Education,kids game free,290%,643.0,27,244,23
Business,flexomatic,0%,45.0,13,220,23
Business,square business,6%,39.0,13,205,23
Music,ultimate guitar pro,8%,159.0,15,198,23
Reference,grace to you bible app,158%,907.0,32,134,23
News,acquired podcast,263%,273.0,25,198,23
Weather,the national weather service,0%,56.0,13,238,23
Utilities,地球online,50%,104.0,16,33,22
Navigation,tren urbano app,7%,40.0,14,233,22
Education,callannie,8%,73.0,15,74,22
Lifestyle,sentrilock real estate,7%,105.0,14,163,22
Lifestyle,joyclub,17%,163.0,14,234,22
Reference,coinid,150%,259.0,21,216,22
Graphics & Design,app decorator free,6%,60.0,14,231,22
Finance,atta poll,10%,60.0,18,174,22
Graphics & Design,live wallpaper iphone,7%,81.0,14,213,22
Shopping,boardal,11%,74.0,18,225,22
News,fresh air podcast,0%,70.0,13,196,22
Finance,first ledger,9%,136.0,18,235,22
Health & Fitness,asleep,8%,51.0,15,216,21
Reference,old coin value,529%,521.0,28,219,21
Productivity,unstuck ai,345%,918.0,34,233,21
Navigation,ditu,240%,7665.0,45,190,21
Finance,crypto tax,19%,165.0,23,227,21
Music,ai music creator,209%,505.0,25,232,21
Navigation,bp earnify,329%,680.0,24,221,21
Social Networking,joi chat,288%,12026.0,49,180,21
Weather,weather up,14%,125.0,14,231,21
Education,study island,10%,45.0,16,230,21
News,fox 29,6%,99.0,14,193,21
Productivity,ai voice generator speechify,46%,282.0,27,217,21
Music,youtube mp4,8%,85.0,16,210,21
Graphics & Design,3d room planner,9%,143.0,16,226,21
Sports,dza,8%,87.0,14,121,21
Navigation,on x maps,7%,49.0,14,224,21
Music,make ringtones,10%,297.0,16,179,21
Reference,coin ledger,7%,37.0,15,233,20
Sports,nfl one pass,13%,151.0,24,132,20
Navigation,transperth,10%,75.0,17,39,20
Sports,nfl onepass,355%,,33,135,20
Graphics & Design,home planner,240%,2749.0,39,207,20
Photo & Video,meshcapade me,929%,1248.0,37,6,20
Utilities,anti virus for iphone,18%,301.0,22,212,20
Utilities,охлаждение телефона,211%,488.0,26,36,20
Lifestyle,foreign dating,7%,70.0,14,214,20
Lifestyle,ace dating,7%,64.0,15,216,20
Travel,fiy,6%,131.0,13,233,20
Magazines & Newspapers,newsbang,6%,79.0,14,218,20
Books,webs,6%,52.0,13,185,20
News,economic,8%,89.0,15,153,20
Weather,hello weather,127%,1952.0,33,211,20
Books,keepa,96%,4540.0,39,228,20
Magazines & Newspapers,market news,8%,26.0,14,211,20
News,today is the day,97%,4218.0,40,119,20
Magazines & Newspapers,abc action news,7%,84.0,14,230,20
Shopping,amazon price tracker,233%,488.0,25,208,20
Weather,lightning detector,55%,344.0,24,207,20
Utilities,tv smart player free,300%,1217.0,30,237,19
Social Networking,live random video chat,10%,113.0,16,132,19
Weather,daily weather,9%,54.0,15,230,19
Photo & Video,splus,23%,88.0,22,207,19
Health & Fitness,self growth,50%,233.0,15,221,19
Weather,clime noaa,7%,88.0,15,209,19
Magazines & Newspapers,tech crunch,10%,183.0,18,160,19
News,wildfires,0%,33.0,15,183,19
Photo & Video,photo prints now,557%,523.0,28,152,19
Business,job game,6%,185.0,13,214,19
Medical,baby tracking,6%,43.0,13,220,19
Graphics & Design,joyplan home designer,7%,40.0,16,215,19
Business,jobnimbus all in one roof app,8%,41.0,15,228,19
Graphics & Design,ai headshot photo generator,8%,222.0,14,230,19
Food & Drink,麦当劳香港,6%,43.0,13,36,19
